id,imagePrompt,Talking Points,More Talking Points ,negativePrompt,steps,cfg,musicTags,width,height,seed,sampler,scheduler,status
1,"Medium plated oyster dish on ice with lemon wedge, fine dining style — 50mm lens, f/3.5, restaurant lighting","This dish captures the elegance of fine dining. The oysters rest on crushed ice, glistening under soft restaurant lights, while the lemon wedge adds both contrast and freshness. Every detail—the shine of the shell, the cool mist of the ice—invites you to imagine the burst of flavor from a perfectly chilled oyster."," First Image is created with Qwen Image, The second image is created with Flux1-Dev, and the third is created with Hi-Dream. Which do you prefer?","CGI oyster, cartoon look, fake gloss",22,6.5,"elegant ambient piano, upscale dining lofi",768,1366,8327359419,euler,simple,processing
2,"A forest shrine built around a glowing crystal tree. Petals drift from its branches, glowing softly in the night. Monks in robes chant while lanterns float on the river nearby.","Picture entering a sacred grove where nature and magic meet. The crystal tree radiates a gentle light, illuminating the forest in soft hues. Monks chant in rhythm with the drifting lanterns, creating a spiritual harmony. It feels like stepping into a living dream, where the natural world itself whispers its secrets."," First Image is created with Qwen Image, The second image is created with Flux1-Dev, and the third is created with Hi-Dream. Which do you prefer?","blurry, dull, messy colors",32,9,"ambient, mystical, new age, choir",768,1366,9076060380,euler,simple,processing
3,"Macro close-up of latte art rosetta, creamy froth texture — 85mm macro lens, f/2.8, warm café lighting","Here, every swirl of foam tells a story. The creamy rosetta is not just decoration, but a craft perfected by the barista. The macro view highlights the delicate textures of froth and coffee blending together. Warm café light makes it feel cozy, as if you could almost smell the rich espresso."," First Image is created with Qwen Image, The second image is created with Flux1-Dev, and the third is created with Hi-Dream. Which do you prefer?","distorted foam, cartoon coffee, fake latte art",24,7.5,"cozy coffee shop lofi, soft piano, chillhop beats",768,1366,4659436411,euler,simple,processing
4,"A massive shipwreck lies half-buried on a beach of black sand. Lanterns glow faintly from within the wreck as storm clouds gather above, lightning illuminating broken masts.","This scene feels like the aftermath of a grand, tragic story. The black sand intensifies the mood, while faint lanterns suggest someone—or something—still lingers inside the wreck. As lightning flashes across the sky, the broken masts become ghostly silhouettes. It’s equal parts mystery, history, and haunting beauty."," First Image is created with Qwen Image, The second image is created with Flux1-Dev, and the third is created with Hi-Dream. Which do you prefer?","noisy, blurry, messy waves",34,9,"dark ambient, ocean, cinematic, eerie",768,1366,4291405163,euler,simple,processing
5,"A futuristic orbital station shaped like a lotus flower drifts near a nebula. Its petals glow with energy, and shuttles weave between them. The nebula swirls in vivid colors beyond.","The station feels alive, like a giant lotus blooming in the void. Its glowing petals harness cosmic energy, powering life inside. Tiny shuttles dart between the petals, emphasizing its massive scale. Beyond, the nebula paints the background in swirling colors, a reminder of both beauty and danger in deep space."," First Image is created with Qwen Image, The second image is created with Flux1-Dev, and the third is created with Hi-Dream. Which do you prefer?","oversaturated, blurry, distorted perspective",32,8,"cosmic, electronic, ambient, ethereal",768,1366,8162282511,euler,simple,processing
6,"Macro food photography of sushi roll cross-section, glossy salmon, rice, and avocado — 100mm macro lens, f/4, soft studio light","This close-up highlights the artistry of sushi. The glossy salmon contrasts beautifully with the creamy avocado and the fine grains of rice. Under soft light, the textures shine with freshness and precision. It’s not just food—it’s edible design, crafted with balance and care."," First Image is created with Qwen Image, The second image is created with Flux1-Dev, and the third is created with Hi-Dream. Which do you prefer?","fake sushi, cartoon textures, distorted rice shapes",26,7,"Japanese ambient electronic, koto with soft beats",768,1366,258625168,euler,simple,processing
7,"A colossal ancient tree rises above the clouds, its branches supporting entire villages. Rope bridges connect wooden houses as waterfalls pour from its roots into the clouds below.","Imagine a world built in the sky. Villages nestle among branches so large they form landscapes of their own. Rope bridges sway gently as people cross between homes suspended in the air. From the roots, waterfalls cascade into the clouds, blurring the line between earth and heaven. It feels like myth made real."," First Image is created with Qwen Image, The second image is created with Flux1-Dev, and the third is created with Hi-Dream. Which do you prefer?","blurry, dull, messy, cartoonish",34,9,"fantasy, orchestral, whimsical, ambient",768,1366,9883871665,euler,simple,processing
8,"Medium shot of assorted sushi platter with chopsticks, soy sauce dish — 50mm lens, f/3.2, restaurant style","A platter that celebrates variety and tradition. Each piece of sushi is arranged with precision, offering a balance of colors and textures. The chopsticks and soy sauce dish add context, evoking the experience of dining at a fine restaurant. The presentation isn’t just about eating—it’s about appreciation."," First Image is created with Qwen Image, The second image is created with Flux1-Dev, and the third is created with Hi-Dream. Which do you prefer?","CGI sushi, distorted fish, cartoon textures",22,7.5,"mellow Japanese lofi, shamisen ambient",768,1366,333372576,euler,simple,processing
9,"A futuristic desert outpost under twin suns, with solar towers glowing orange and nomads riding mechanical camels through the dunes","Picture a desert where technology and tradition merge. Solar towers glow like beacons under the blazing twin suns, harvesting endless energy. Nomads ride mechanical camels, blending old-world travel with futuristic engineering. The outpost stands resilient, a shining hub of survival and innovation in a harsh world."," First Image is created with Qwen Image, The second image is created with Flux1-Dev, and the third is created with Hi-Dream. Which do you prefer?","text, watermark, blurry, lowres, distorted anatomy",30,9,"ambient electronic, desert chill, tribal beats, cinematic",768,1366,9282791382,euler,simple,processing
10,"Macro close-up of gooey pizza cheese pull, melted cheese strings — 90mm macro lens, f/2.8, warm side lighting","This close-up captures the irresistible moment of a perfect cheese pull. The melted strings stretch and glisten under warm light, showing the gooey texture in all its detail. It’s comfort food at its peak—messy, delicious, and impossible to resist."," First Image is created with Qwen Image, The second image is created with Flux1-Dev, and the third is created with Hi-Dream. Which do you prefer?","distorted cheese, plastic look, CGI",28,8,"playful funk lofi, upbeat bassline, chill grooves",768,1366,9348642269,euler,simple,processing
